# cointelegraph_historical.tsv - Historical article data from Cointelegraph.com.
#
# This is a tab-separated value file (TSV). Format notes:
#
# - Ignore blank lines.
# - Ignore lines beginning with "#".
# - Columns are:
#    1. Article slug - replace ??? with www.cointelegraph.com/news/???.html for
#    the article URL.
#    2. Publish date - when the article was published
#
altcoin-price-analysis-nothing-can-stop-eth-and-dogecoin	2016-01-26T14:09:00
altcoin-price-dance-party	2016-01-29T13:35:00
altcoin-price-dancing	2016-01-28T12:38:00
altcoin-price-sensational-eth-dogecoin	2016-01-25T13:26:00
altcoin-remittances-arrive-shapeshiftio-partners-with-phillippines-rebitph	2015-10-01T14:06:47
altcoin-ripple-13-surge-gets-investors-forecasting-breakout	2017-06-20T10:15:00
altcoins-could-lose-20-when-bitcoin-climbs-to-5000	2017-08-14T14:23:26
altcoins-july-overview-ethereum-ripple-litecoin-nem-dash	2017-08-01T19:15:00
altcoins-market-monthly-overview	2017-09-11T00:20:00
altcoins-use-bitcoin-ecosystem-to-leapfrog-forward-grow-faster	2017-09-11T07:05:00
altcoins-we-are-excited-about-an-introduction-to-darknote	2014-09-22T16:15:53
altcoins-will-burst-dash-will-crash-vinny-lingham	2017-03-14T15:50:00
altcoin-takeover-unlikely-despite-bitcoin-transaction-woes-bitpay-ceo	2017-03-08T16:05:00
altcoin-weekly-doge-dash-eth-success	2016-01-24T10:13:00
altcoin-zoo-top-5-tokens-with-animal-mascots	2017-06-28T12:00:00
alternative-blockchain-uses-elections-product-reviews-and-fraud-prevention	2018-01-03T15:35:00
alternet-systems-partners-with-bitpay-for-launch-of-world-wide-payment-processing-business	2014-09-04T17:17:00
altrader-blog-how-price-skyrocketed-after-i-have-closed-deal	2017-04-05T15:45:00
amazon-decentralized-how-blockchain-tech-will-transform-online-retail-networking	2017-09-14T15:35:00
amazon-embraces-distributed-ledger-through-r3-shuns-other-blockchain-solutions	2017-12-06T01:50:00
amazon-owned-twitch-re-adds-bitcoin-payments-using-coinbase	2016-08-21T11:11:00
amazons-5b-plan-for-indias-e-commerce-boom-for-bitcoin	2016-10-05T09:25:00
amazons-6000-percent-1990s-growth-still-beats-bitcoin-ethereum	2017-06-22T13:00:00
amazon-sparks-speculation-by-buying-three-cryptocurrency-themed-domain-names	2017-11-04T01:40:00
amazon-web-services-wont-launch-blockchain-based-services-says-ceo-andy-jassy	2017-12-02T07:20:00
amd-launches-software-driver-for-cryptocurrency-mining	2017-08-17T18:40:00
amd-says-cryptocurrency-mining-not-part-of-long-term-strategy-for-growth	2017-07-29T10:50:00
amd_strikes_back_with_hbm	2014-03-07T09:07:30
amd-to-break-with-crypto-despite-its-rocket-ride-secured-by-bitcoin-boom	2017-10-26T16:10:00
amd-very-willing-to-participate-in-blockchain-ceo-lisa-su	2017-12-04T13:55:00
american-billionaire-investor-mark-cuban-claims-cryptocurrencies-and-blockchain-are-future	2017-10-06T20:15:00
american-express-ceo-sees-importance-of-bitcoin	2014-12-12T09:59:40
american-express-files-patent-on-blockchain-based-personalized-customer-rewards-system	2017-10-24T15:30:00
american-investors-plan-to-hodl-bitcoin-until-price-hits-196000	2017-11-17T03:15:00
americans-are-already-voting-on-blockchain	2016-11-03T17:30:00
americans-skeptical-of-bitcoin-asia-surpasses-us-europe-in-fintech-investments	2017-04-26T17:46:00
amex-has-a-checkout-service-london-startup-funding-sets-record-greek-island-explores-digital-currency	2015-07-11T12:53:42
amex-partners-with-ripple-for-blockchain-payments	2017-11-16T15:25:00
amid-bitcoin-trading-resurgence-chinese-miners-shut-down-without-warning	2017-06-02T09:50:00
amidst-chaos-first-us-china-blockchain-conference-connects-1500-eager-attendees	2018-01-29T07:42:00
amidst-spike-in-bitcoin-price-japans-largest-bank-tests-blockchain-based-coin	2016-06-15T15:30:00
a-minutes-silence-for-altcoins-as-bitcoin-highs-slice-value-across-markets	2017-11-02T12:05:00
amsterdam-aims-to-become-bitcoin-capital-of-the-world	2014-11-24T12:43:10
amsterdam_gets_its_own_bitcoin_atm	2014-04-28T03:33:27
an-african-revolution-being-borne-of-the-back-of-bitcoin-and-blockchain	2018-01-08T16:30:00
analyst-suspicious-bitcoin-mempool-activity-transaction-fees-spike-to-16	2017-12-09T13:04:00
analyst-who-predicted-1987-stock-market-crash-predicts-bear-market-for-bitcoin-and-altcoins	2017-07-22T00:02:00
an-anatomy-of-bitcoin-ponzis	2015-05-06T09:56:18
anatomy-of-ico-for-blockchain-investors-and-entrepreneurs	2017-02-17T14:27:00
ancora-should-you-invest-in-a-limited-edition-bitcoin-fountain-pen	2018-01-08T14:55:00
andorra_to_host_digital_currency_summit	2014-06-05T14:06:20
andreas-antonopoulos-and-jeffrey-tucker-speak-at-bitcoin-south	2014-12-26T18:55:55
